City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Carnarvon,AU,-24.8667,113.6333,65.21,51,0,7.0,clear sky
252,West Helena,US,34.5507,-90.6418,85.68,42,29,5.88,scattered clouds
253,Novocheremshansk,RU,54.3571,50.1666,58.64,77,98,4.92,overcast clouds
254,Soloneshnoye,RU,51.6544,84.3197,42.67,93,90,4.74,overcast clouds
255,Cam Ranh,VN,11.9214,109.1591,80.56,83,20,1.14,few clouds
256,La Ronge,CA,55.1001,-105.2842,57.45,38,20,16.11,smoke
257,Denpasar,ID,-8.65,115.2167,76.66,94,40,3.44,scattered clouds
258,Komsomolskiy,UZ,40.4272,71.7189,68.72,49,3,6.91,clear sky
259,Bubaque,GW,11.2833,-15.8333,80.65,78,41,13.35,scattered clouds
260,Andros Town,BS,24.7,-77.7667,80.56,68,26,17.11,scattered clouds
261,Marzuq,YE,14.4,46.4667,74.98,59,54,4.0,broken clouds
262,Mwanza,TZ,-2.5167,32.9,68.22,61,63,2.91,broken clouds
263,Sibu,MY,2.3,111.8167,75.51,94,40,1.14,scattered clouds
264,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,4.61,clear sky
265,Fort-Shevchenko,KZ,44.5086,50.263,73.9,42,45,8.19,scattered clouds
266,Synya,RU,65.3718,58.0387,44.8,58,1,4.03,clear sky
267,Saint George,US,37.1041,-113.5841,98.64,14,0,16.11,clear sky
268,Wilmington,US,34.2257,-77.9447,80.51,47,0,14.97,clear sky
269,Gorontalo,ID,0.5412,123.0595,76.93,90,80,1.34,broken clouds
270,Faanui,PF,-16.4833,-151.75,79.43,77,73,14.29,broken clouds
271,Miri,MY,4.4148,114.0089,78.94,94,40,5.75,moderate rain
272,Pemagatsel,BT,27.0319,91.4266,60.89,95,66,2.57,light rain
273,Narsaq,GL,60.9167,-46.05,55.62,53,100,3.06,overcast clouds
274,Muravlenko,RU,63.7898,74.523,36.14,58,96,2.57,overcast clouds
275,Anadyr,RU,64.75,177.4833,46.9,81,40,17.9,scattered clouds
276,Yarim,YE,14.298,44.3779,58.05,55,32,1.25,scattered clouds
277,Wewak,PG,-3.5534,143.6268,81.1,77,39,4.36,scattered clouds
278,Leua,SK,48.2156,18.6071,67.55,61,77,10.2,broken clouds
279,Sawakin,SD,19.1059,37.3321,84.43,52,2,4.97,clear sky
280,Bengkulu,ID,-3.8004,102.2655,76.8,83,100,3.83,overcast clouds
281,Te Anau,NZ,-45.4167,167.7167,48.56,86,30,2.01,scattered clouds
282,Braganca Paulista,BR,-22.94,-46.5556,58.23,84,4,3.38,clear sky
283,Mahon,ES,39.8885,4.2658,68.56,100,75,4.61,broken clouds
284,Pisco,PE,-13.7,-76.2167,66.02,82,0,19.57,clear sky
285,Yumen,CN,40.2833,97.2,66.02,24,46,2.06,scattered clouds
286,Kirensk,RU,57.7853,108.1119,52.11,87,62,1.25,broken clouds
