City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Buin,CL,2022-06-06 02:09:14,-33.7333,-70.75,55.74,62,0,2.59
238,Pacasmayo,PE,2022-06-06 02:09:14,-7.4006,-79.5714,63.72,89,99,13.85
239,Karratha,AU,2022-06-06 02:05:32,-20.7377,116.8463,73.06,40,14,16.8
240,Tabou,CI,2022-06-06 02:09:15,4.423,-7.3528,77.04,87,100,5.68
241,Merauke,ID,2022-06-06 02:09:15,-8.4667,140.3333,83.68,69,9,4.14
242,Najran,SA,2022-06-06 02:09:16,17.4924,44.1277,74.1,18,0,4.94
243,Havoysund,NO,2022-06-06 02:09:16,70.9963,24.6622,44.83,87,81,27.4
244,Caravelas,BR,2022-06-06 02:09:16,-17.7125,-39.2481,70.5,70,99,8.81
245,Riberalta,BO,2022-06-06 02:09:17,-10.9833,-66.1,77.56,67,100,1.74
246,Khatanga,RU,2022-06-06 02:09:17,71.9667,102.5,32.63,77,100,7.38
247,Pontian Kecil,MY,2022-06-06 02:09:18,1.4801,103.3899,82.45,77,100,3.02
248,Tenenkou,ML,2022-06-06 02:09:18,14.4572,-4.9169,92.66,18,87,8.52
249,Lavrentiya,RU,2022-06-06 02:09:18,65.5833,-171.0,43.07,60,53,5.97
250,Okhotsk,RU,2022-06-06 02:09:19,59.3833,143.3,51.62,69,16,8.9
251,Grand-Santi,GF,2022-06-06 02:09:19,4.25,-54.3833,73.15,99,100,3.04
252,Qui Nhon,VN,2022-06-06 02:09:20,13.7667,109.2333,89.04,58,15,4.59
253,Tura,IN,2022-06-06 02:09:20,25.5198,90.2201,78.6,89,59,5.12
254,Zalantun,CN,2022-06-06 02:09:20,48.0,122.7167,65.3,40,14,18.14
255,Tortoli,IT,2022-06-06 02:09:21,39.9256,9.6572,73.89,52,56,3.74
256,Serebryansk,KZ,2022-06-06 02:09:21,49.6925,83.2892,47.39,80,84,2.08
257,Salinopolis,BR,2022-06-06 02:09:21,-0.6136,-47.3561,77.81,86,100,8.61
258,Lakatoro,VU,2022-06-06 02:09:22,-16.0999,167.4164,83.66,62,33,11.01
259,Corinto,GR,2022-06-06 02:09:22,37.9407,22.9573,75.42,59,55,3.11
260,Mukhen,RU,2022-06-06 02:09:23,48.1,136.1,69.37,43,0,4.14
261,Comandau,RO,2022-06-06 02:09:23,45.7667,26.2667,49.32,96,11,4.61
262,Poso,ID,2022-06-06 02:09:23,-1.3959,120.7524,86.67,59,19,1.14
263,Birigui,BR,2022-06-06 02:09:24,-21.2886,-50.34,68.04,61,2,7.58
264,Manicore,BR,2022-06-06 02:09:24,-5.8092,-61.3003,72.66,98,100,3.02
265,Sri Aman,MY,2022-06-06 02:09:25,1.2376,111.4621,79.66,87,87,1.07
266,Shamary,RU,2022-06-06 02:09:25,57.3434,58.2199,51.89,91,100,5.79
267,Salym,RU,2022-06-06 02:09:25,60.0625,71.4789,44.82,59,91,1.39
268,Bara,NG,2022-06-06 02:09:26,10.3744,10.7288,74.84,72,62,5.79
269,Lima,PE,2022-06-06 02:06:03,-12.0432,-77.0282,63.9,81,0,9.22
270,Lethem,GY,2022-06-06 02:07:37,3.3803,-59.7968,75.25,92,100,3.11
271,Ambatondrazaka,MG,2022-06-06 02:09:27,-17.8333,48.4167,58.01,96,81,3.96
272,Kosaya Gora,RU,2022-06-06 02:09:27,54.119,37.5446,47.41,95,0,6.35
273,Tessalit,ML,2022-06-06 02:09:27,20.1986,1.0114,89.08,9,0,11.18
274,Mwinilunga,ZM,2022-06-06 02:10:28,-11.7358,24.4293,52.66,66,0,8.48
275,Haines Junction,CA,2022-06-06 02:10:28,60.7522,-137.5108,64.51,49,79,4.23
276,Kalino,RU,2022-06-06 02:10:29,58.2504,57.6085,53.22,96,100,5.32
277,Luanda,AO,2022-06-06 02:09:39,-8.8368,13.2343,69.51,84,79,3.76
278,Ghanzi,BW,2022-06-06 02:10:29,-21.5667,21.7833,49.87,47,99,9.04
279,Namatanai,PG,2022-06-06 02:10:29,-3.6667,152.4333,84.76,66,37,3.29
280,Laguna,US,2022-06-06 02:09:23,38.421,-121.4238,81.75,57,0,9.22
281,Gornopravdinsk,RU,2022-06-06 02:10:30,60.05,69.9,45.16,58,59,2.98
282,Tucuman,AR,2022-06-06 02:10:31,-26.8241,-65.2226,53.6,82,75,4.61
283,Mar Del Plata,AR,2022-06-06 02:07:38,-38.0023,-57.5575,48.09,90,100,5.75
284,Kailua,US,2022-06-06 02:06:28,21.4022,-157.7394,84.18,70,40,13.8
285,Selenice,AL,2022-06-06 02:10:32,40.5306,19.6358,74.95,61,92,7.34
286,San Vicente,AR,2022-06-06 02:10:32,-26.6167,-54.1333,58.62,95,100,3.49
287,Villarrobledo,ES,2022-06-06 02:10:33,39.2699,-2.6012,65.79,38,2,1.83
288,Saint-Louis,SN,2022-06-06 02:10:33,16.3333,-15.0,84.16,38,4,12.88
289,Bartica,GY,2022-06-06 02:10:33,6.4,-58.6167,73.72,99,100,2.13
290,Seeheim-Jugenheim,DE,2022-06-06 02:10:34,49.765,8.6519,62.78,98,15,6.11
291,Eureka,US,2022-06-06 02:07:56,40.8021,-124.1637,64.74,83,68,8.99
292,Hithadhoo,MV,2022-06-06 02:10:34,-0.6,73.0833,82.47,70,82,4.0
