City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Katsina,NG,82.65,overcast clouds,12.9894,7.6006,Katsina Motel
641,Ninh Binh,VN,83.66,overcast clouds,20.2539,105.975,Kinh Do Hotel
642,Vieux-Habitants,GP,80.17,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
643,Port Blair,IN,75.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
647,Carlisle,US,78.44,scattered clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
653,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
657,Isangel,VU,79.03,few clouds,-19.55,169.2667,Tanna Lodge
658,Chino,US,89.58,few clouds,34.0122,-117.6889,"Motel 6 Chino, CA - Los Angeles Area"
659,Boyolangu,ID,76.08,overcast clouds,-8.1181,111.8935,Yos ega cv
660,Lahaina,US,86.0,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
661,Yichang,CN,77.65,overcast clouds,30.7144,111.2847,Gezhouba Hotel
667,Bud,US,84.15,broken clouds,39.447,-86.1758,Ted McQuinn Trust
668,Bagado,CO,76.35,heavy intensity rain,5.4116,-76.4152,Hotel San Jose
669,Conway,US,84.18,clear sky,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
670,Dhidhdhoo,MV,81.93,broken clouds,6.8833,73.1,Dhidhoo beach
671,Pyapon,MM,77.85,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
672,Alugan,PH,81.66,overcast clouds,12.2188,125.4808,JM Lodge
674,Angoram,PG,84.92,broken clouds,-4.0625,144.0661,
675,Rapid City,US,78.1,overcast clouds,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
677,Jamame,SO,76.05,overcast clouds,0.0722,42.7506,
684,Coahuayana,MX,82.42,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
694,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
695,Howard Springs,AU,82.87,scattered clouds,-12.497,131.047,buffalo beach hostel
697,Ariyalur,IN,78.84,overcast clouds,11.1333,79.0833,BERGAMONT HOTEL
698,Wang Saphung,TH,75.22,few clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
699,Mogadishu,SO,78.55,broken clouds,2.0371,45.3438,Hotel Juba
